Rating,Reviews
1,"Looks wise ok,but performance and speed wise zero ....samsung mobiles are worst in low and medium range its proved onece again"
1,Don't buy mobile phone from Flipkart
1,Camera is very poor and set is not smooth enough
1,"Samsung very full slow weest phone money weest
No buy it very bad 😡"
1,"After purchasing the phone and within a week, it started to switch off and not getting started
When taken to customer care centre they said that it was some small glitch and after rebooting it'll work fine, but the problem persisted and is still there
Do not understand where to take this phone now
It is a dead phone for us now

Did not expect to get a phone with such poor support
We were looking to buy Made in India and non Chinese hence ended up buying this

Pathetic experience"
1,"LTE supported device not supports 4G, hence net connectivity is very slow."
1,"Camera qulity low, phone hang, display not work, chrging prblm, speaker problm, calling volume isuses"
1,Don't buy this phone..... Don't do the same mistake I did
1,Low RAM 2gb & 4Gb Not 6Gb at a time
1,Hanging issue
1,"Dirty mobile, don't waste your money"
1,"In case of price it's better to buy another mobile
I Just paid that high amount for the brand
Waste of money"
1,Camera very poor ..Don't buy ..
1,Camera 50 m p not good
1,"Looks wise ok,but performance and speed wise zero ....samsung mobiles are worst in low and medium range its proved onece again"
1,Don't buy mobile phone from Flipkart
1,Camera is very poor and set is not smooth enough
1,"Samsung very full slow weest phone money weest
No buy it very bad 😡"
1,"After purchasing the phone and within a week, it started to switch off and not getting started
When taken to customer care centre they said that it was some small glitch and after rebooting it'll work fine, but the problem persisted and is still there
Do not understand where to take this phone now
It is a dead phone for us now

Did not expect to get a phone with such poor support
We were looking to buy Made in India and non Chinese hence ended up buying this

Pathetic experience"
1,"LTE supported device not supports 4G, hence net connectivity is very slow."
1,"Camera qulity low, phone hang, display not work, chrging prblm, speaker problm, calling volume isuses"
1,Don't buy this phone..... Don't do the same mistake I did
1,Low RAM 2gb & 4Gb Not 6Gb at a time
1,Hanging issue
1,"Dirty mobile, don't waste your money"
1,"In case of price it's better to buy another mobile
I Just paid that high amount for the brand
Waste of money"
1,Camera very poor ..Don't buy ..
1,Camera 50 m p not good
1,"Reviewing again after 5 months. At the beginning the battery and performance was good but it degraded soon. Also I was facing heating issues. The mobile will heat up like a stove sometimes. You cannot even play Pubg even in low settings properly, performance is not a problem but heating is. Also if you play that game for 10 mins the brightness will be automatically down due to over heating even when the auto brightness is set to off. This will not be solved even if u manually increase the bri...
READ MORE"
1,"Phone is awesome no doubt. But Camera & Display is not great. Performance is mind blowing.
But the phone is heating too much when charging or when you regularly used. It's experience after using 1 week. It's heating extrem when I play PUBG for 30 minutes.
Go for iPhone 11 pro or 12. Otherwise go for Android phone you will get much better phone in less price."
1,"Worst product delivered by Flipkart
After 10days of delivery mobile will not work properly
Volume and silent buttons are not working.
No worth to buy in Flipkart.
Please don’t buy apple products in Flipkart"
1,"I bought this mobile on May 20th and I write review on July 5, 2022. This is not worth for money.
The main problems are,
Battery,
Camera,
Mobile hanging

It is fast charging mobile but it takes 2:30 hours to charge fully

This is 50mb camera mobile. But not worth for even 13mb.

With fewer apps itself it hanged sometimes."
1,"Camara, picture very poor.and screen parformance is very bad. Weste of money this phone."
1,Battery charging is very slow
1,Totally waste of money. Camera quality rear and front is very poor. No fast charging. Take 3 hours to get 100% charge. Don't go for it .
1,Audio🔊 quality is so poor...
1,Mobile charging time heating problem
1,"Don't buy this because always hanging
5 hours full charge battery and very worst phone please please please dont buy the phone 🙏🙏🙏🙏"
